ability_1,ability_2,win_rate
Nyx Assassin,Mind Flare,47.28
Techies,Reactive Tazer,55.71
Sven,Great Cleave,49.59
Centaur Warrunner,Retaliate,51.84
Razor,Static Link,51.76
Witch Doctor,Maledict,49.5
Bounty Hunter,Shuriken Toss,49.61
Pudge,Dismember,49.7
Earthshaker,Enchant Totem,46.86
Beastmaster,Wild Axes,48.93
Clinkz,Searing Arrows,43.09
Multishot,Marksmanship,47.27
Sand King,Epicenter,45.77
Warlock,Upheaval,52.52
Ember Spirit,Sleight of Fist,46.39
Tidehunter,Kraken Shell,50.9
Storm Spirit,Overload,50.56
Stinger,Epicenter,48.09
Pangolier,Swashbuckle,47.9
Undying,Decay,50.28
Shadow Shaman,Mass Serpent Ward,49.8
Lifestealer,Ghoul Frenzy,54.8
Hunter in the Night,Dark Ascension,52.79
Phantom Assassin,Phantom Strike,44.73
Vengeful Spirit,Wave of Terror,47.65
Viper,Poison Attack,49.97
Bloodseeker,Thirst,58.03
Shadow Shaman,Ether Shock,48.36
Clinkz,Strafe,43.08
Necrophos,Heartstopper Aura,49.11
Charge of Darkness,Greater Bash,53.17
Silencer,Glaives of Wisdom,53.15
Frostbite,Freezing Field,54.59
Windranger,Focus Fire Facet,47.9
Multishot,Frost Arrows,49.07
Tinker,Laser,47.91
Nature's Prophet,Sprout,51.38
Omniknight,Hammer of Purity,54.21
Windranger,Shackleshot,50.49
Night Stalker,Hunter in the Night,52.72
Juggernaut,Blade Dance,47.58
Ringmaster,Tame the Beasts,48.41
Silencer,Last Word,48.29
Leshrac,Split Earth,55.3
Shadow Fiend,Feast of Souls,55.2
Luna,Lucent Beam,55.13
Morphling,Waveform,50.45
Riki,Tricks of the Trade,43.23
Undying,Tombstone,50.89
Bane,Fiend's Grip,55.42
Earthshaker,Echo Slam,51.38
Chaos Knight,Reality Rift,49.11
Berserker's Blood,Life Break,54.16
Midnight Pulse,Black Hole,52.49
Tiny,Toss,47.46
Lina,Laguna Blade,48.66
Razor,Plasma Field,55.98
Phantom Lancer,Juxtapose,50.26
Bane,Brain Sap,53.43
Meat Hook,Dismember,50.56
Shuriken Toss,Track,52.25
Pugna,Life Drain,50.07
Puck,Dream Coil,43.44
Phantom Assassin,Stifling Dagger,43.46
Storm Surge,Eye of the Storm,51.32
Lion,Mana Drain,44.58
Timbersaw,Whirling Death,49.87
Wraith King,Reincarnation,56.5
Clockwerk,Power Cogs,53.34
Sand King,Sand Storm,49.93
Queen of Pain,Sonic Wave,46.67
Burning Spear,Berserker's Blood,55.26
Primal Beast,Pulverize,51.81
Crystal Maiden,Crystal Nova,47.95
Queen of Pain,Shadow Strike,47.15
Legion Commander,Overwhelming Odds,50.85
Paralyzing Cask,Death Ward,51.26
Shackles,Mass Serpent Ward,52.3
Storm Spirit,Static Remnant,47.99
Great Cleave,God's Strength,50.77
Visage,Soul Assumption,46.91
Spirit Lance,Juxtapose,47.45
Medusa,Split Shot,55.62
Slark,Pounce,49.19
Bounty Hunter,Jinada,47.11
Sven,God's Strength,49.71
Phantom Lancer,Phantom Rush,47.75
Tiny,Avalanche,55.02
Legion Commander,Moment of Courage,49.04
Sand King,Stinger,44.55
Dragon Slave,Laguna Blade,44.34
Death Prophet,Exorcism,52.15
Wraith King,Mortal Strike,51.03
Mars,Arena Of Blood,54.46
Tusk,Walrus PUNCH!,53.11
Spectre,Shadow Step,44.1
Naga Siren,Mirror Image,53.57
March of the Machines,Rearm,41.74
Leshrac,Pulse Nova,59.47
Venomancer,Venomous Gale,44.58
Pudge,Meat Hook,49.69
Puck,Phase Shift,45.59
Disruptor,Thunder Strike,49.63
Blade Dance,Omnislash,47.62
Puck,Illusory Orb,45.47
Crystal Maiden,Frostbite,49.97
Lich,Frost Blast,50.2
Bristleback,Bristleback,49.15
Ember Spirit,Searing Chains,49.23
Dragon Slave,Fiery Soul,45.15
Templar Assassin,Psi Blades,46.79
Avalanche,Toss,53.65
Jakiro,Dual Breath,46.28
Slithereen Crush,Corrosive Haze,55.69
Fatal Bonds,Chaotic Offering,53.18
Arcane Curse,Global Silence,51.22
Kraken Shell,Anchor Smash,50.0
Rubick,Fade Bolt,49.36
Axe,Culling Blade,46.29
Rot,Dismember,50.26
Slark,Dark Pact,47.62
Outworld Devourer,Sanity's Eclipse,51.37
Necrophos,Ghost Shroud,45.45
Medusa,Mystic Snake,54.05
Faceless Void,Time Walk,51.97
Queen of Pain,Scream Of Pain,48.43
Beastmaster,Primal Roar,48.37
Clinkz,Skeleton Walk,48.39
Dragon Knight,Dragon Tail,59.97
Headshot,Take Aim,48.93
Lina,Light Strike Array,56.91
Io,Tether,54.4
Poison Sting,Plague Ward,51.74
Mana Drain,Finger of Death,41.22
Ancient Apparition,Cold Feet,50.78
Razor,Eye of the Storm,50.63
Bounty Hunter,Track,54.43
Razor,Storm Surge,51.5
Necrophos,Reaper's Scythe,44.77
Venomancer,Noxious Plague,48.87
Oracle,Fortune's End,53.68
Shadow Demon,Disruption,57.01
Phantom Assassin,Coup de Grace,40.19
Frost Arrows,Marksmanship,47.8
Omniknight,Purification,55.63
Meld,Psi Blades,48.84
Leshrac,Diabolic Edict,55.3
Searing Arrows,Skeleton Walk,50.62
Spirit Breaker,Greater Bash,50.88
Bane,Nightmare,45.77
Shackleshot,Focus Fire Facet,44.91
Nethertoxin,Corrosive Skin,52.97
Largo,Frogstomp,52.78
Mirana,Starstorm,47.35
Arcane Orb,Sanity's Eclipse,50.16
Lion,Hex,51.67
Tusk,Snowball,55.51
Shadow Fiend,Shadowraze,53.1
Brain Sap,Fiend's Grip,53.13
Outworld Devourer,Astral Imprisonment,51.43
Static Remnant,Ball Lightning,50.64
Greater Bash,Nether Strike,44.87
Medusa,Gorgon's Grasp,53.47
Dazzle,Shadow Wave,52.65
Pugna,Decrepify,50.72
Skywrath Mage,Concussive Shot,51.93
Mirana,Moonlight Shadow,49.45
Faceless Void,Time Lock,45.74
Presence of the Dark Lord,Requiem of Souls,62.09
Shrapnel,Assassinate,50.55
Mirana,Sacred Arrow,49.82
Phase Shift,Dream Coil,49.58
Disruptor,Glimpse,48.97
Static Remnant,Overload,47.37
Centaur Warrunner,Hoof Stomp,53.63
Sniper,Take Aim,54.32
Maledict,Death Ward,49.17
Slardar,Corrosive Haze,54.24
Nature's Prophet,Teleportation,50.7
Bloodseeker,Rupture,52.82
Phantom Lancer,Doppelganger,52.77
Counter Helix,Culling Blade,48.66
Brewmaster,Drunken Brawler,52.55
Decrepify,Life Drain,47.0
Troll Warlord,Fervor,43.85
Earth Spike,Mana Drain,52.33
Berserker's Call,Culling Blade,49.32
Grimstroke,Soulbind,53.33
Lifestealer,Rage,54.05
Anti-Mage,Mana Break,42.94
Leshrac,Lightning Storm,54.41
Lifestealer,Infest,50.14
Sniper,Shrapnel,57.88
Dragon Knight,Breathe Fire,56.5
Timbersaw,Reactive Armor,47.92
Bane,Enfeeble,54.43
Slark,Saltwater Shiv,43.37
Untouchable,Nature's Attendants,55.64
Bloodseeker,Bloodrage,47.35
Nyx Assassin,Impale,51.36
Arcane Curse,Last Word,49.37
Lycan,Summon Wolves,49.6
Noxious Plague,Poison Sting,54.71
Queen of Pain,Blink,55.68
Lifestealer,Open Wounds,48.94
Dark Willow,Shadow Realm,51.02
Enchantress,Nature's Attendants,55.88
Windranger,Powershot,45.97
Void Spirit,Astral Step,54.11
Luna,Lunar Orbit,57.71
Windranger,Windrun,55.59
Enigma,Midnight Pulse,51.38
Dawnbreaker,Starbreaker,50.3
Hex,Finger of Death,47.32
Death Pulse,Heartstopper Aura,52.4
Lycan,Shapeshift,53.84
Templar Assassin,Refraction,51.14
Nyx Assassin,Vendetta,45.2
Axe,Battle Hunger,48.31
Pugna,Nether Ward,53.53
Underlord,Firestorm,55.09
Shadow Shaman,Hex,48.25
Weaver,Geminate Attack,40.6
Burrowstrike,Epicenter,51.71
Primal Beast,Onslaught,50.23
Trample,Uproar,52.52
Largo,Croak of Genius,53.22
Techies,Sticky Bomb,51.71
Ghost Shroud,Heartstopper Aura,51.65
Spectre,Dispersion,54.02
Kunkka,Ghostship,52.42
Trample,Pulverize,51.61
Huskar,Berserker's Blood,48.76
Lycan,Feral Impulse,51.9
Thirst,Rupture,54.17
Venomancer,Plague Ward,45.32
Immaterial,Coup de Grace,50.2
Crypt Swarm,Exorcism,48.48
Tidehunter,Ravage,58.2
Toss,Grow,45.69
Chaos Knight,Chaos Strike,46.49
Juggernaut,Blade Fury,50.12
Luna,Eclipse,55.06
Guardian Sprint,Bash of the Deep,50.29
Storm Spirit,Electric Vortex,47.08
Dragon Knight,Wyrm's Wrath,54.64
Shuriken Toss,Jinada,45.97
Bash of the Deep,Corrosive Haze,50.12
Refraction,Psi Blades,56.23
Nature's Prophet,Wrath of Nature,49.14
Heavenly Jump,Arc Lightning,51.26
Elder Titan,Astral Spirit,49.06
Dark Seer,Vacuum,53.93
Magnus,Shockwave,49.34
Viper,Nethertoxin,46.46
Ringmaster,Impalement Arts,47.42
Laser,Rearm,40.68
Snapfire,Mortimer Kisses,52.58
Diabolic Edict,Pulse Nova,51.91
Crystal Maiden,Freezing Field,47.93
Treant Protector,Overgrowth,52.64
Enigma,Malefice,47.78
Enfeeble,Fiend's Grip,55.64
Light Strike Array,Laguna Blade,53.53
Night Stalker,Crippling Fear,51.56
Upheaval,Chaotic Offering,53.11
Earthshock,Enrage,49.18
Tiny,Grow,47.15
Spectre,Haunt,48.82
Snapfire,Scatterblast,49.02
Wraith King,Wraithfire Blast,54.12
Tree Grab,Grow,49.5
Sven,Storm Hammer,53.99
Death Pulse,Reaper's Scythe,45.65
Silencer,Global Silence,48.99
Omniknight,Repel,57.42
Phantom Lancer,Spirit Lance,46.53
Static Link,Eye of the Storm,47.12
Paralyzing Cask,Maledict,52.62
Smoke Screen,Cloak and Dagger,57.49
Escape Act,Impalement Arts,48.39
Burrowstrike,Sand Storm,54.79
Earthshaker,Fissure,50.39
Phantom Strike,Coup de Grace,47.26
Phantom Rush,Doppelganger,51.79
Ancient Apparition,Ice Vortex,49.15
Kunkka,Torrent,52.55
Lone Druid,Entangle,42.38
Torrent,Ghostship,53.18
Puck,Waning Rift,44.98
Strafe,Searing Arrows,44.22
Illusory Orb,Phase Shift,50.11
Doom,Scorched Earth,49.55
Blink Strike,Tricks of the Trade,43.8
Weaver,Shukuchi,51.44
Viper,Viper Strike,46.53
Frost Blast,Chain Frost,54.01
Illusory Orb,Dream Coil,48.23
Largo,Amphibian Rhapsody,51.94
Clinkz,Death Pact,43.01
Uproar,Pulverize,51.58
Noxious Plague,Venomous Gale,51.28
Abaddon,Mist Coil,42.8
Earth Spirit,Rolling Boulder,52.76
Spectre,Spectral Dagger,51.04
Doom,Devour,47.39
Reality Rift,Chaos Strike,51.08
Riki,Smoke Screen,50.81
Phantom Assassin,Immaterial,46.53
Enchantress,Untouchable,51.2
Ice Path,Macropyre,53.86
Pudge,Meat Shield,49.94
Clockwerk,Hookshot,52.68
Shadow Step,Haunt,47.46
Nether Ward,Life Drain,50.29
Warcry,God's Strength,51.16
Legion Commander,Duel,48.29
Battery Assault,Power Cogs,52.76
Vengeful Spirit,Nether Swap,49.11
Ringmaster,Wheel of Wonder,50.89
Doom,Doom,48.22
Skywrath Mage,Ancient Seal,50.62
Huskar,Burning Spear,45.67
Magic Missile,Nether Swap,51.02
Tidebringer,Ghostship,52.1
Mars,God's Rebuke,51.46
Tinker,March of the Machines,44.44
Double Edge,Retaliate,48.71
Overwhelming Odds,Moment of Courage,51.37
Skewer,Reverse Polarity,50.28
Chaos Strike,Phantasm,54.74
Ember Spirit,Flame Guard,51.35
Mind Flare,Vendetta,44.78
Magnus,Reverse Polarity,49.37
Chen,Penitence,45.89
Hoodwink,Acorn Shot,54.79
Vengeful Spirit,Magic Missile,50.25
Fiery Soul,Laguna Blade,45.12
Riki,Cloak and Dagger,50.74
Sven,Warcry,53.44
Kez,Unknown Ability #1517,48.1
Earth Spike,Hex,56.59
Fatal Bonds,Upheaval,47.58
Anti-Mage,Blink,45.92
Bounty Hunter,Shadow Walk,50.83
Zeus,Arc Lightning,40.99
Electric Vortex,Ball Lightning,48.69
Keeper of the Light,Chakra Magic,49.98
Ancient Apparition,Ice Blast,53.81
Spawn Spiderlings,Spin Web,53.87
Templar Assassin,Meld,43.64
Hoodwink,Sharpshooter,49.96
Weaver,The Swarm,47.95
Berserker's Call,Battle Hunger,51.25
Corrosive Skin,Viper Strike,52.29
Spirit Lance,Doppelganger,52.52
Heartstopper Aura,Reaper's Scythe,52.23
Ringmaster,Escape Act,48.81
Vengeful Spirit,Vengeance Aura,51.95
Frostbite,Arcane Aura,50.6
Nether Blast,Life Drain,45.95
Alchemist,Unstable Concoction,47.97
Geminate Attack,Time Lapse,47.56
Lich,Frost Shield,49.18
Skywrath Mage,Mystic Flare,50.54
Terrorblade,Conjure Image,51.19
Bloodseeker,Blood Rite,52.08
Windrun,Focus Fire Facet,50.07
Feral Impulse,Shapeshift,53.78
Meat Shield,Rot,55.33
Jakiro,Liquid Frost,50.5
Phoenix,Icarus Dive,49.73
Battery Assault,Hookshot,50.91
Ursa,Earthshock,43.5
Pangolier,Rolling Thunder,47.38
Hex,Shackles,52.84
Monkey King,Boundless Strike,50.76
Blood Rite,Rupture,48.38
Muerta,Dead Shot,47.75
Onslaught,Trample,47.39
Slark,Shadow Dance,57.65
Overwhelming Odds,Duel,51.92
Arc Warden,Magnetic Field,48.76
Poison Attack,Viper Strike,48.89
Feast of Souls,Presence of the Dark Lord,53.62
Corrosive Weaponry,Chemical Rage,53.62
Void Spirit,Dissimilate,50.68
Dark Willow,Bramble Maze,51.87
Hex,Mass Serpent Ward,48.31
Winter Wyvern,Arctic Burn,55.36
Lina,Fiery Soul,57.23
Juggernaut,Healing Ward,49.89
Catchy Lick,Frogstomp,51.65
Strafe,Skeleton Walk,54.24
Blink,Scream Of Pain,53.0
Immaterial,Phantom Strike,52.53
Shadow Demon,Demonic Purge,52.85
Abaddon,Aphotic Shield,50.99
Medusa,Stone Gaze,53.96
Keeper of the Light,Spirit Form,48.59
Blink,Sonic Wave,51.43
Dazzle,Shallow Grave,48.68
Wraithfire Blast,Reincarnation,54.65
Tame the Beasts,Wheel of Wonder,52.84
Nethertoxin,Viper Strike,47.5
Batrider,Firefly,51.85
Io,Spirits,55.07
Moonlight Shadow,Leap,54.69
Witch Doctor,Voodoo Restoration,53.99
Enchantress,Enchant,52.33
Fervor,Battle Trance,47.09
Guardian Sprint,Corrosive Haze,48.45
Malefice,Black Hole,50.98
Sand Storm,Epicenter,52.07
Night Stalker,Dark Ascension,49.62
Moment of Courage,Duel,48.04
Warlock,Shadow Word,50.64
Earthshock,Fury Swipes,53.07
Reality Rift,Phantasm,52.51
Disruptor,Kinetic Field,48.58
Dragon Tail,Elder Dragon Form,46.84
Crystal Maiden,Arcane Aura,46.34
Frost Shield,Chain Frost,51.52
Jakiro,Ice Path,49.98
Vacuum,Wall of Replica,51.86
Dual Breath,Macropyre,47.1
Zeus,Heavenly Jump,43.67
Snapfire,Lil' Shredder,48.99
Jakiro,Macropyre,45.15
Ether Shock,Mass Serpent Ward,48.58
Dragon Knight,Elder Dragon Form,51.73
Nether Blast,Decrepify,45.97
Treant Protector,Nature's Grasp,46.02
Anchor Smash,Ravage,55.77
Skeleton Walk,Death Pact,51.69
Legion Commander,Press The Attack,49.81
Gyrocopter,Rocket Barrage,50.66
Bristleback,Viscous Nasal Goo,48.34
Brewmaster,Thunder Clap,47.81
Ghoul Frenzy,Rage,55.83
Inner Beast,Primal Roar,49.02
Treant Protector,Leech Seed,53.43
Stifling Dagger,Coup de Grace,43.45
Shadowraze,Requiem of Souls,51.99
Hoodwink,Bushwhack,51.86
Viper,Corrosive Skin,49.98
Dragon Slave,Light Strike Array,51.05
Quill Spray,Warpath,46.62
Night Stalker,Void,47.79
Tusk,Ice Shards,55.16
Summon Wolves,Feral Impulse,50.73
Fury Swipes,Enrage,55.17
Waning Rift,Dream Coil,47.49
Chaos Knight,Phantasm,48.23
Death Prophet,Silence,53.1
Ghost Shroud,Death Pulse,48.42
Nyx Assassin,Spiked Carapace,52.34
Plasma Field,Eye of the Storm,53.01
Phantom Rush,Spirit Lance,43.73
Chaos Knight,Chaos Bolt,51.4
Tidehunter,Gush,56.64
Lightning Storm,Pulse Nova,51.56
Anti-Mage,Mana Void,42.4
Tiny,Tree Grab,47.23
Huskar,Life Break,43.35
Troll Warlord,Whirling Axes (Ranged),44.77
Gush,Ravage,54.82
Venomous Gale,Poison Sting,48.45
Hammer of Purity,Repel,51.87
Dazzle,Nothl Projection,42.85
Kez,Echo Slash,51.28
Shadow Strike,Sonic Wave,41.91
Sprout,Teleportation,51.43
Slardar,Guardian Sprint,46.01
Smoke Screen,Blink Strike,50.63
Onslaught,Uproar,51.56
Timbersaw,Timber Chain,45.71
Beastmaster,Inner Beast,41.34
Marci,Bodyguard,49.66
Waveform,Adaptive Strike,47.4
Power Cogs,Hookshot,51.04
Earth Spike,Finger of Death,52.58
Overpower,Fury Swipes,53.18
Elder Titan,Natural Order,53.85
Muerta,The Calling,52.23
Refraction,Meld,51.56
Wild Axes,Primal Roar,53.33
Untouchable,Impetus,50.0
Winter Wyvern,Splinter Blast,51.11
Crystal Nova,Freezing Field,53.89
Arc Warden,Flux,49.7
Time Lock,Chronosphere,49.54
Chakra Magic,Spirit Form,51.23
Great Cleave,Warcry,49.07
Alchemist,Chemical Rage,53.23
Kraken Shell,Ravage,48.85
Crippling Fear,Hunter in the Night,53.08
Dark Pact,Shadow Dance,56.46
Void,Hunter in the Night,49.75
Disruption,Demonic Purge,54.88
Abaddon,Borrowed Time,50.91
Ghost Shroud,Reaper's Scythe,46.74
Broodmother,Spin Web,49.75
Mortal Strike,Reincarnation,52.69
Kinetic Field,Static Storm,51.17
Troll Warlord,Battle Trance,48.67
Jinada,Track,50.48
Disruptor,Static Storm,49.18
Brewmaster,Primal Split,52.43
Lunar Orbit,Moon Glaives,58.37
Fiend's Grip,Nightmare,48.9
Ogre Magi,Ignite,52.96
Onslaught,Pulverize,49.23
Shackleshot,Powershot,46.1
Mirror Image,Rip Tide,54.33
Sprout,Wrath of Nature,49.03
Searing Arrows,Death Pact,43.89
Wraith King,Bone Guard,50.52
Ursa,Overpower,42.02
Magnus,Empower,52.33
Gyrocopter,Call Down,51.56
Feast of Souls,Requiem of Souls,50.78
Keeper of the Light,Illuminate,44.52
Teleportation,Wrath of Nature,50.73
Ogre Magi,Bloodlust,53.02
Fissure,Aftershock,54.73
Tidebringer,X Marks the Spot,50.32
Kez,Kazurai Katana,49.67
Gyrocopter,Homing Missile,51.87
Drunken Brawler,Primal Split,54.1
Shadow Walk,Track,56.71
Impale,Vendetta,50.83
Muerta,Gunslinger,50.15
Spectral Blade,Mortal Strike,45.23
Incapacitating Bite,Insatiable Hunger,52.57
Kunkka,X Marks the Spot,49.61
Split Shot,Stone Gaze,47.16
Enigma,Demonic Summoning,46.59
Rolling Thunder,Swashbuckle,45.48
Kez,Grappling Claw,50.67
Ghoul Frenzy,Infest,46.6
Searing Chains,Sleight of Fist,46.6
Shackleshot,Windrun,54.33
Jinada,Shadow Walk,50.49
Sticky Napalm,Firefly,47.31
Terrorblade,Metamorphosis,49.66
Crystal Nova,Frostbite,52.52
Nature's Attendants,Impetus,52.88
Mind Flare,Impale,50.03
Breathe Fire,Elder Dragon Form,45.11
Scream Of Pain,Sonic Wave,42.0
Spectral Dagger,Haunt,55.08
Underlord,Pit of Malice,51.39
Shadow Strike,Blink,53.61
Batrider,Flaming Lasso,49.35
Healing Ward,Omnislash,47.62
Kez,Raptor Dance,49.88
Bloodrage,Rupture,44.08
Astral Imprisonment,Sanity's Eclipse,47.19
Storm Surge,Static Link,45.95
Burning Spear,Life Break,49.0
Storm Surge,Plasma Field,53.41
Kez,Unknown Ability #1519,47.12
Venomous Gale,Plague Ward,44.42
Ghoul Frenzy,Open Wounds,49.4
Battle Hunger,Culling Blade,45.32
Faceless Void,Chronosphere,48.55
Surge,Wall of Replica,54.3
Arcane Orb,Essence Flux,52.86
Acid Spray,Chemical Rage,51.46
Overpower,Enrage,47.75
Broodmother,Insatiable Hunger,43.73
Dark Seer,Wall of Replica,50.38
Phoenix,Fire Spirits,52.02
Ursa,Enrage,44.75
Bone Guard,Reincarnation,53.52
Arcane Aura,Freezing Field,50.03
Illusory Orb,Waning Rift,47.93
Drow Ranger,Gust,54.35
Illuminate,Chakra Magic,47.02
Fissure,Echo Slam,46.66
Heavenly Jump,Thundergod's Wrath,46.89
Phoenix,Supernova,52.3
Sticky Napalm,Flaming Lasso,45.5
Infernal Blade,Doom,50.66
Nothl Projection,Poison Touch,43.41
Monkey King,Jingu Mastery,50.1
Brain Sap,Enfeeble,53.73
Heavenly Jump,Lightning Bolt,52.11
Viscous Nasal Goo,Bristleback,52.58
Underlord,Fiend's Gate,51.31
Dark Pact,Pounce,49.49
Centaur Warrunner,Stampede,53.54
Conjure Image,Metamorphosis,46.12
Tinker,Defense Matrix,47.54
Mist Coil,Borrowed Time,48.98
Io,Overcharge,50.58
Guardian Sprint,Slithereen Crush,48.91
Tether,Overcharge,52.85
Bloodrage,Thirst,49.55
Snapfire,Firesnap Cookie,48.48
Arcane Bolt,Mystic Flare,48.28
Glaives of Wisdom,Global Silence,51.69
Powershot,Windrun,52.07
Slardar,Bash of the Deep,47.75
Clockwerk,Rocket Flare,48.37
Oracle,Purifying Flames,47.46
Rage,Infest,51.6
Devour,Doom,47.22
Unstable Concoction,Chemical Rage,51.2
Strafe,Death Pact,47.14
Scorched Earth,Doom,52.3
Batrider,Flamebreak,51.03
Omniknight,Guardian Angel,51.03
Arcane Curse,Glaives of Wisdom,48.18
The Swarm,Shukuchi,60.96
Split Earth,Pulse Nova,48.21
Hex,Mana Drain,44.88
Shadow Demon,Disseminate,50.18
Stinger,Burrowstrike,49.46
Torrent,Tidebringer,50.57
Mystic Snake,Stone Gaze,48.05
Ursa,Fury Swipes,45.67
Viscous Nasal Goo,Quill Spray,44.62
Blood Rite,Thirst,57.06
Viscous Nasal Goo,Warpath,41.0
Arcane Bolt,Ancient Seal,48.57
Void Spirit,Aether Remnant,56.2
Pounce,Shadow Dance,55.69
Shadow Word,Chaotic Offering,51.88
Hoof Stomp,Double Edge,54.6
Summon Wolves,Shapeshift,50.04
Moonlight Shadow,Sacred Arrow,52.88
Thunder Strike,Glimpse,53.06
Crystal Nova,Arcane Aura,48.26
Croak of Genius,Amphibian Rhapsody,48.89
Undying,Soul Rip,47.18
Charge of Darkness,Nether Strike,48.29
Snowball,Walrus PUNCH!,49.89
Dispersion,Haunt,59.38
Nether Blast,Nether Ward,50.0
Arcane Bolt,Concussive Shot,52.1
Lycan,Howl,51.87
Whirling Death,Timber Chain,47.74
Dark Seer,Surge,49.77
Plasma Field,Static Link,50.19
Ember Spirit,Fire Remnant,49.55
Jakiro,Liquid Fire,47.42
Weaver,Time Lapse,42.14
Electric Vortex,Overload,47.6
Catchy Lick,Croak of Genius,50.08
Terrorblade,Reflection,54.95
Empower,Reverse Polarity,55.13
Glaives of Wisdom,Last Word,51.92
Dawnbreaker,Solar Guardian,52.34
Rubick,Telekinesis,46.41
Arc Lightning,Thundergod's Wrath,46.03
Hammer of Purity,Guardian Angel,43.46
Timbersaw,Chakram,45.83
Last Word,Global Silence,49.65
Dual Breath,Ice Path,52.57
Poison Touch,Shadow Wave,48.2
Grimstroke,Stroke of Fate,52.11
Whirling Death,Reactive Armor,53.17
Leech Seed,Overgrowth,57.95
Blade Fury,Omnislash,47.91
Visage,Grave Chill,42.41
Waning Rift,Phase Shift,49.28
Devour,Scorched Earth,51.82
Psi Blades,Psionic Trap,47.78
Open Wounds,Infest,41.9
Wraithfire Blast,Mortal Strike,47.77
Leap,Starstorm,51.75
Ice Vortex,Chilling Touch,47.87
Dragon Tail,Wyrm's Wrath,49.92
Ion Shell,Surge,49.43
Spirit Breaker,Nether Strike,46.18
Breathe Fire,Wyrm's Wrath,48.56
Enchant Totem,Echo Slam,40.2
Muerta,Pierce the Veil,51.48
Marksmanship,Gust,49.13
Enchant,Impetus,46.29
Enfeeble,Nightmare,44.03
Catchy Lick,Amphibian Rhapsody,49.96
Howl,Shapeshift,51.54
Proximity Mines,Blast Off!,48.33
Retaliate,Stampede,52.02
Shuriken Toss,Shadow Walk,49.87
Earthshock,Overpower,42.7
Immaterial,Stifling Dagger,49.75
Shukuchi,Time Lapse,58.57
Swashbuckle,Shield Crash,47.57
Naga Siren,Ensnare,48.47
Vacuum,Ion Shell,48.93
Repel,Guardian Angel,50.34
Battle Hunger,Counter Helix,48.41
Decay,Flesh Golem,51.08
Naga Siren,Rip Tide,53.45
Naga Siren,Deluge,50.82
Spin Web,Incapacitating Bite,56.14
Wheel of Wonder,Impalement Arts,51.05
Glimpse,Static Storm,48.43
Wraith King,Spectral Blade,47.55
Ion Shell,Wall of Replica,49.26
Meat Hook,Rot,51.84
Split Earth,Diabolic Edict,45.79
Shadow Step,Spectral Dagger,49.56
Silence,Exorcism,48.54
Fissure,Enchant Totem,45.04
Rage,Open Wounds,48.14
The Swarm,Geminate Attack,48.62
Lucent Beam,Moon Glaives,47.86
